repository,type,source,keyword,summary,link,status
Xpra-org/xpra,Issue,body+comment,OS=fedora; FIX=breakage|broken|bug|fix,x265/encoder.pyx:449:26: undeclared name not builtin: Dict,https://github.com/Xpra-org/xpra/issues/4010,To review
NagiosEnterprises/ncpa,Issue,body+title,OS=windows; FIX=fails|failure,"NCPA v3-Beta | API Memory/Swap fails with ""Error retrieving child"" on Windows",https://github.com/NagiosEnterprises/ncpa/issues/979,To review
Becksteinlab/GromacsWrapper,Issue,body+title,OS=darwin|macos; FIX=fails; CAUSE=.so,mamba installation fails on macOS GH runner,https://github.com/Becksteinlab/GromacsWrapper/issues/253,To review
aristanetworks/anta,Issue,body+title,OS=linux|ubuntu; FIX=fails,Ubuntu - anta installation from git fails on crypto lib,https://github.com/aristanetworks/anta/issues/395,To review
aws/aws-sam-cli,Issue,body+title,OS=macos; FIX=bug|fail|fails; TEST_CI=test,deploy_frontend.sh grep command fails on mac,https://github.com/aws/aws-sam-cli/issues/5940,To review
OSInside/kiwi,Issue,body,OS=debian|ubuntu; FIX=compatibility; TEST_CI=test,Replace setuptools with poetry,https://github.com/OSInside/kiwi/issues/2370,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|windows; FIX=bug|fail|fails|failure|skip; TEST_CI=ci,Bug: SAM CLI from DevContainer fails either on Windows or Mac,https://github.com/aws/aws-sam-cli/issues/5922,To review
canonical/craft-parts,Issue,body,OS=debian|linux|ubuntu; FIX=bug|failing; CAUSE=.so,Premature parts environment variable expansion,https://github.com/canonical/craft-parts/issues/541,To review
DeepRank/deeprank2,Issue,body+title,OS=macos|unix; FIX=fail|failing|fix; TEST_CI=matrix|test|tests,Fix installation,https://github.com/DeepRank/deeprank2/issues/473,To review
WordPress/openverse,Issue,body+comment,OS=debian|linux|macos|wsl; FIX=bug; TEST_CI=test|workflow,Add guidance regarding devcontainer configuration's intended scope to the getting started documentation,https://github.com/WordPress/openverse/issues/2937,To review
boto/botocore,Issue,body+comment,OS=linux; FIX=compatibility|workaround,RFE: Pease proviide support for `urllib3` 2.0.x,https://github.com/boto/botocore/issues/3012,To review
AliRn76/panther,Issue,body+comment,OS=linux|windows; FIX=bug|fixed,ModuleNotFoundError: No module named 'C:\\repos\\<API_NAME>\\app',https://github.com/AliRn76/panther/issues/33,New Category
aws-samples/sagemaker-ssh-helper,Issue,body+title,OS=mingw64|windows; FIX=fails,sm-local-configure only works with bash like installations - no Powershell/CMD support / Windows support at all,https://github.com/aws-samples/sagemaker-ssh-helper/issues/38,To review
Farama-Foundation/Gymnasium,Issue,body+comment+title,OS=macos|ubuntu; FIX=bug|failing|fix; TEST_CI=test,[Bug Report] mujoco rendering is not deterministic,https://github.com/Farama-Foundation/Gymnasium/issues/690,To review
aboutcode-org/scancode-toolkit,Issue,body+comment+title,OS=debian|fedora|linux|posix|windows; FIX=bug|fail|failing|failure|mark.skipif|pytest.mark.skipif|regression|skipif|xfail; TEST_CI=ci|pytest|test|tests; CAUSE=crlf|encoding|executable|utf-8; API=encoding=|os.path|subprocess,Failing tests,https://github.com/aboutcode-org/scancode-toolkit/issues/3496,To review
Azure/azure-functions-python-worker,Issue,body+title,OS=linux; FIX=bug,[BUG] Cannot disable azure functions with '-' in name in Linux environment,https://github.com/Azure/azure-functions-python-worker/issues/1308,To review
Xpra-org/xpra,Issue,body,OS=linux; FIX=fails|workaround,Failed to receive anything if X Server unused,https://github.com/Xpra-org/xpra/issues/3970,To review
OSInside/kiwi,Issue,body+comment,OS=fedora|linux; FIX=bug|fixed|workaround; TEST_CI=test,Incorrect subvolume configuration with btrfs,https://github.com/OSInside/kiwi/issues/2356,To review
aws-samples/aws-genai-llm-chatbot,Issue,body+title,OS=linux; FIX=fails,Issues deploying on Linux with a different architecture,https://github.com/aws-samples/aws-genai-llm-chatbot/issues/19,To review
MetPX/sarracenia,Issue,body+comment+title,OS=linux|windows; FIX=fails|fix; CAUSE=executable; API=subprocess,"on windows, sr3 foreground config does not start... "" error: argument action: invalid choice""",https://github.com/MetPX/sarracenia/issues/748,To review
ansys/pymechanical,Issue,body+title,OS=linux|ubuntu|wsl; FIX=bug|fails; TEST_CI=pytest|test,Initializing pymechanical fails on Ubuntu 20.04 (WSL),https://github.com/ansys/pymechanical/issues/352,To review
basilisp-lang/basilisp,Issue,body+title,OS=windows; FIX=compatibility; TEST_CI=test,Makefile compatibility issuea with MS-Windows,https://github.com/basilisp-lang/basilisp/issues/702,Not related
Xpra-org/xpra,Issue,body+comment,OS=darwin|fedora|linux|macos|mingw|posix|ubuntu|win32|windows; FIX=bug|compatibility|failing|fails|fix; TEST_CI=test; CAUSE=.so|encoding; API=encoding=,help users configure GStreamer,https://github.com/Xpra-org/xpra/issues/3964,To review
DataBiosphere/dsub,Issue,body+comment,OS=linux|ubuntu; FIX=fail|failure|skip; TEST_CI=test|tests,Dsub and multiprocessing,https://github.com/DataBiosphere/dsub/issues/268,To review
artisan-roaster-scope/artisan,Issue,body+title,OS=arch|debian|linux|windows; FIX=fail|fix,Artisan on ARM (aarch) Arch Linux,https://github.com/artisan-roaster-scope/artisan/issues/1248,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|linux|macos|posix|ubuntu|unix|win32|windows; FIX=broken|bug|compatibility|fix|fixed|fixes|workaround; TEST_CI=test; CAUSE=encoding; API=encoding=,XPRA v4.4.6 not showing tray icons.,https://github.com/Xpra-org/xpra/issues/3956,To review
OSInside/kiwi,Issue,body+comment,OS=arch|fedora|linux; FIX=fix|skip,disable header_hybrid on aarch64,https://github.com/OSInside/kiwi/issues/2343,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|windows; FIX=bug,Bug: AWS SAM CLI with Terraform does not read TF_VAR_** environment values for Windows,https://github.com/aws/aws-sam-cli/issues/5671,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|windows; FIX=bug,Bug: AWS SAM CLI with Terraform does not read TF_VAR_** environment values for Windows,https://github.com/aws/aws-sam-cli/issues/5670,To review
MilesCranmer/PySR,Issue,body+title,OS=windows; FIX=bug,[BUG]: SymPy parsing error related to unicode encodings on Windows,https://github.com/MilesCranmer/PySR/issues/395,To review
ansys/pymechanical,Issue,body+title,OS=linux; FIX=fail; TEST_CI=tests; CAUSE=permission denied,appdata tests fail with 241,https://github.com/ansys/pymechanical/issues/310,To review
basilisp-lang/basilisp,Issue,body,OS=windows; FIX=fixed; TEST_CI=tests,Add a Reader feature for current Platform,https://github.com/basilisp-lang/basilisp/issues/692,To review
byteskeptical/sftpretty,Issue,body+comment,OS=linux|windows; FIX=bug|compatibility|fail; TEST_CI=tests; API=os.path,Doesn't use SSH config file.,https://github.com/byteskeptical/sftpretty/issues/37,Not related
NVIDIA/NeMo-Guardrails,Issue,body+title,OS=windows; FIX=fails; API=subprocess,"Installation fails on windows 64-bit with 'ERROR: Could not build wheels for annoy, which is required to install pyproject.toml-based projects' error",https://github.com/NVIDIA/NeMo-Guardrails/issues/86,To review
GNS3/gns3-server,Issue,body,OS=windows; FIX=bug|fix|fixed,TLSv1.3 breaks eth1 of the GNS3 Cloud appliance,https://github.com/GNS3/gns3-server/issues/2261,To review
AndrewAnnex/SpiceyPy,Issue,body+title,OS=macos; FIX=bug|failing; TEST_CI=test|tests,3 Tests failing on Macos M1 Pro,https://github.com/AndrewAnnex/SpiceyPy/issues/470,Not related
L1NNA/jvd,Issue,body+title,OS=linux|windows|wsl; FIX=failure|fix|workaround,Corner Case: WSL + Windows IDA Pro + MAX_PATH limit,https://github.com/L1NNA/jvd/issues/11,To review
Xpra-org/xpra,Issue,body+comment,OS=ubuntu|windows; FIX=bug|fix|fixed|fixes; TEST_CI=test,Modal window jumps,https://github.com/Xpra-org/xpra/issues/3938,To review
aws/aws-sam-cli,Issue,body+title,OS=darwin|linux|macos|windows; FIX=bug; TEST_CI=workflow,"Bug: macOS `sam local start-api` invoke gives: ""rosetta error: failed to open elf at""",https://github.com/aws/aws-sam-cli/issues/5606,To review
MetPX/sarracenia,Issue,comment,OS=linux|ubuntu|windows; FIX=broken|bug|compatibility|fail|fixed; TEST_CI=tests; CAUSE=executable,Cannot Run Sarracenia due to Missing Magic,https://github.com/MetPX/sarracenia/issues/721,To review
WordPress/openverse,Issue,body,OS=macos; FIX=bug,Hidden header as scrolling down,https://github.com/WordPress/openverse/issues/2683,To review
ActiveState/OpenKomodoIDE,Issue,body+title,OS=windows; FIX=broken,windows installer broken,https://github.com/ActiveState/OpenKomodoIDE/issues/16,Not Python
basilisp-lang/basilisp,Issue,body+title,OS=win32|windows; FIX=fails|fixes; TEST_CI=pytest|test|tests,MS-Windows tests failures,https://github.com/basilisp-lang/basilisp/issues/687,Related!!
basilisp-lang/basilisp,Issue,body+title,OS=macos|windows; FIX=fail; TEST_CI=ci|tests,MS-Windows and macos CI coverage,https://github.com/basilisp-lang/basilisp/issues/685,To review
ansys/pyfluent,Issue,body+title,OS=linux|windows; FIX=fails; TEST_CI=test; CAUSE=.so,test_batch_ops_create_mesh fails when using Fluent Docker container,https://github.com/ansys/pyfluent/issues/1816,To review
GothenburgBitFactory/bugwarrior,Issue,comment,OS=arch|linux; FIX=broken|compatibility; CAUSE=slash,Upgrade to Pydantic V2,https://github.com/GothenburgBitFactory/bugwarrior/issues/998,To review
MeltanoLabs/target-snowflake,Issue,body+title,OS=windows; FIX=fail|failing; TEST_CI=github actions|pytest,Lots of warnings in Pytest output,https://github.com/MeltanoLabs/target-snowflake/issues/90,To review
canonical/craft-parts,Issue,body,OS=linux|ubuntu; FIX=bug|failing|fixed; TEST_CI=ci|pytest|test|tests|workflow,AptCache is marking extra packages for installation on Jammy,https://github.com/canonical/craft-parts/issues/495,To review
artisan-roaster-scope/artisan,Issue,body+title,OS=windows; FIX=fails,WebLCDs do not start on Windows,https://github.com/artisan-roaster-scope/artisan/issues/1229,To review
TorchDSP/torchsig,Issue,body,OS=windows; FIX=bug,Emit warning when generating a static dataset based on available disk space,https://github.com/TorchDSP/torchsig/issues/148,To review
WordPress/openverse,Issue,body+comment,OS=macos; FIX=bug|fix|fixed|fixes|regression,Extra White-Space in responsive mode while scrolling,https://github.com/WordPress/openverse/issues/2596,To review
aws-cloudformation/cfn-lint,Issue,body+comment+title,OS=alpine; FIX=bug|fails|failure|fix|fixed|fixes|workaround; API=subprocess,cfn-lint fails to install because of jsonschema,https://github.com/aws-cloudformation/cfn-lint/issues/2790,To review
containers/podman-py,Issue,body+title,OS=rhel; FIX=broken|fail|failing; TEST_CI=ci|test|tests,CI is broken,https://github.com/containers/podman-py/issues/299,To review
NagiosEnterprises/ncpa,Issue,body+title,OS=windows; FIX=fails,NCPA agent fails to start on Windows 7 build 7601.17514,https://github.com/NagiosEnterprises/ncpa/issues/959,To review
aboutcode-org/scancode-toolkit,Issue,body+comment,OS=centos|debian|fedora|rhel|ubuntu; FIX=fixed,distro is passed as None for RPM packages,https://github.com/aboutcode-org/scancode-toolkit/issues/3443,To review
ClickHouse/clickhouse-connect,Issue,body+comment,OS=unix; FIX=fails|fix|fixed|workaround; TEST_CI=test; CAUSE=timezone,`DateTime64` is cut at seconds value when supplied as a parameter,https://github.com/ClickHouse/clickhouse-connect/issues/212,To review
apache/arrow-nanoarrow,Issue,body+comment,OS=posix; FIX=broken; CAUSE=timezone,Timestamp Handling Guidance,https://github.com/apache/arrow-nanoarrow/issues/251,To review
DLR-RM/stable-baselines3,Issue,body+comment+title,OS=linux|win64|windows; FIX=bug|fix|fixes,[Bug]: ValueError: high is out of bounds for int32,https://github.com/DLR-RM/stable-baselines3/issues/1579,To review
aws/aws-sam-cli,Issue,body+comment+title,OS=linux|macos|windows|wsl; FIX=bug|failing|fails|fix|skip|workaround; TEST_CI=test; CAUSE=permission denied,SAM INVOKE FAILS,https://github.com/aws/aws-sam-cli/issues/5421,To review
codespell-project/codespell,Issue,body+title,OS=debian; FIX=failing; TEST_CI=tests,Aspell Tests Failing On Debian 12,https://github.com/codespell-project/codespell/issues/2897,To review
Kozea/Radicale,Issue,body+comment,OS=debian|fedora|linux|ubuntu; FIX=bug|fail|failing|fails|failure|fix|fixed; TEST_CI=test,Crashes eventually if disconnected from the internet,https://github.com/Kozea/Radicale/issues/1313,To review
DeepRank/deeprank2,Issue,body,OS=wsl; FIX=fixed; TEST_CI=test|tests,Improve installation instructions,https://github.com/DeepRank/deeprank2/issues/451,To review
Xpra-org/xpra,Issue,body+comment,OS=arch|debian|linux|ubuntu|windows; FIX=bug|fixes; API=subprocess,xpra attach from client with two displays - how to limit max resolution,https://github.com/Xpra-org/xpra/issues/3901,To review
apache/arrow-nanoarrow,Issue,body+title,OS=arch|macos|unix; FIX=fails|failure; TEST_CI=test|tests|unittest; CAUSE=executable,Verification on conda/MacOS M1 fails with segfault,https://github.com/apache/arrow-nanoarrow/issues/241,To review
Xpra-org/xpra,Issue,body+title,OS=macos|osx; FIX=broken|bug,MacOS downloads broken,https://github.com/Xpra-org/xpra/issues/3900,To review
alan-turing-institute/AIrsenal,Issue,body+title,OS=macos; FIX=fails|failure,Failure enforing `amd64` on `m1` in `podman`/`docker` `compose`,https://github.com/alan-turing-institute/AIrsenal/issues/597,To review
canonical/craft-parts,Issue,body+title,OS=linux|windows; FIX=fails,architecture parsing fails on non-linux platforms,https://github.com/canonical/craft-parts/issues/474,To review
Azure/azure-functions-python-worker,Issue,comment,OS=linux|macos|ubuntu|windows|wsl; FIX=broken|bug|fail|failing|fails|failure|fix|fixed|fixes|workaround; TEST_CI=azure pipelines|github actions|test|tests|workflow; API=os.path,Azure function python v2 with external packages HTTP Trigger not visible in Azure Portal after deployment,https://github.com/Azure/azure-functions-python-worker/issues/1262,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|unix|windows; FIX=bug|fail|fails,Bug: sam fails to build subdirectory based Dockerfile images on Windows,https://github.com/aws/aws-sam-cli/issues/5345,To review
GNS3/gns3-server,Issue,body+title,OS=windows; FIX=broken|bug|fails,import project fails with Could not find NPF id for interface eth2,https://github.com/GNS3/gns3-server/issues/2241,To review
Xpra-org/xpra,Issue,body+title,OS=ubuntu|windows; FIX=bug|fails; CAUSE=encoding; API=encoding=,Xpra 5.0 fails to render menu windows for JetBrains IDEs,https://github.com/Xpra-org/xpra/issues/3891,To review
canonical/operator,Issue,body+comment,OS=ubuntu; FIX=bug|fix|workaround; TEST_CI=test|tests,Inconsistency in `relation-list` output with subordinates,https://github.com/canonical/operator/issues/945,To review
Farama-Foundation/Gymnasium,Issue,body+title,OS=macos; FIX=bug,"[Bug Report] render window freezes when `render_mode=""human""` (LunarLander) (MacOS)",https://github.com/Farama-Foundation/Gymnasium/issues/543,To review
GitGuardian/ggshield,Issue,body+comment+title,OS=linux|macos|mingw64|windows; FIX=broken|bug|fail|failing|fails|failure|fix|fixed|skip|workaround; TEST_CI=ci|test; CAUSE=encoding,SSLEOFError when scanning a windows docker image,https://github.com/GitGuardian/ggshield/issues/555,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=windows; FIX=bug; CAUSE=utf-8,[Bug] Bug Report: 'utf-8' codec decoding error on Windows 11,https://github.com/OpenBB-finance/OpenBB/issues/5109,To review
aws/aws-sam-cli,Issue,body+comment,OS=linux|macos|windows; FIX=bug|fail|failing|fails|fix|workaround; TEST_CI=test; CAUSE=chmod|crlf|executable|lf|newline; API=newline=,`sam delete` gets confused about which template to delete from S3,https://github.com/aws/aws-sam-cli/issues/5254,To review
Xpra-org/xpra,Issue,body+title,OS=ubuntu|windows; FIX=bug|fixed,Client-side OpenGL support on Windows,https://github.com/Xpra-org/xpra/issues/3879,To review
camel-ai/camel,Issue,body+title,OS=linux|macos|unix|windows; FIX=bug,[BUG] Difficulty setting OpenAI API key environment variable on Windows,https://github.com/camel-ai/camel/issues/134,To review
ansys/pymechanical,Issue,body+title,OS=centos|linux|windows; FIX=bug,Bug located in embedding/linux/tracemap,https://github.com/ansys/pymechanical/issues/261,To review
assume-framework/assume,Issue,body+comment+title,OS=linux|windows; FIX=fix|fixed,Make multiprocessing mango available on windows,https://github.com/assume-framework/assume/issues/62,To review
GNS3/gns3-server,Issue,comment,OS=linux|ubuntu|windows; FIX=fix|fixed,Avoid translating internal routers ip address to localhost when pinging,https://github.com/GNS3/gns3-server/issues/2227,To review
OSInside/kiwi,Issue,body,OS=fedora; FIX=compatibility,"Prepare for DNF 5, don't depend on `dnf`",https://github.com/OSInside/kiwi/issues/2300,To review
asreview/asreview,Issue,body+title,OS=linux|windows; FIX=fails; API=subprocess,Fails to build Docker image on Windows from the Dockerfile,https://github.com/asreview/asreview/issues/1446,To review
agentmorris/MegaDetector,Issue,body+comment,OS=windows; FIX=bug|fixed; TEST_CI=test,"Successful run of visualize_detector_output.py outputs empty file ""anno_""",https://github.com/agentmorris/MegaDetector/issues/24,To review
aeye-lab/pymovements,Issue,body,OS=windows; FIX=fixed,matplotlib agg backend does not show figures in notebooks,https://github.com/aeye-lab/pymovements/issues/414,To review
OSInside/kiwi,Issue,body+title,OS=debian; FIX=fails; TEST_CI=pytest|test; API=subprocess,Installation fails when building Debian package with 9.24.60,https://github.com/OSInside/kiwi/issues/2296,To review
beetbox/beets,Issue,body,OS=linux|macos|solaris; FIX=bug|skip,Dirty flex attr data_source not actually written to album table,https://github.com/beetbox/beets/issues/4785,To review
Xpra-org/xpra,Issue,body+title,OS=ubuntu|windows; FIX=bug|failing|fails; TEST_CI=test,"QUIC connection fails to start with ""Idle timeout"" from Windows to Ubuntu",https://github.com/Xpra-org/xpra/issues/3850,To review
biopragmatics/pyobo,Issue,comment,OS=windows; FIX=bug; TEST_CI=test|tests; CAUSE=encoding|utf-8,Unidecode Error,https://github.com/biopragmatics/pyobo/issues/150,Related!!
apache/arrow-nanoarrow,Issue,body+title,OS=mingw32|posix|windows; FIX=fails; CAUSE=.dll|executable,Linking Arrow C++ fails on Windows,https://github.com/apache/arrow-nanoarrow/issues/188,To review
Xpra-org/xpra,Issue,body+title,OS=centos|linux; FIX=bug|failing|fails,Installation on CentOS 7 fails (gpg key mismatch),https://github.com/Xpra-org/xpra/issues/3848,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=linux|ubuntu; FIX=bug,[Bug] cannot access(type) terminal Ubuntu docker,https://github.com/OpenBB-finance/OpenBB/issues/4984,To review
HaroldMills/Vesper,Issue,body+title,OS=macos; FIX=fails|fixed,Vesper 0.4.13 installation fails on Apple Silicon Macs.,https://github.com/HaroldMills/Vesper/issues/217,To review
WordPress/openverse,Issue,body+comment+title,OS=linux; FIX=bug|fail|fixed|skip; TEST_CI=test|tests,Flaky test: `content-report-form` `focused-close-button`,https://github.com/WordPress/openverse/issues/2020,To review
Avalon-Benchmark/avalon,Issue,body+title,OS=ubuntu; FIX=fail,Base installation instructions in the avalon/README.md for Ubuntu are not correct,https://github.com/Avalon-Benchmark/avalon/issues/31,Not related
Xpra-org/xpra,Issue,body+title,OS=fedora; FIX=fails,Gstreamer fails on Fedora 38 with Amd GPU,https://github.com/Xpra-org/xpra/issues/3843,To review
TorchDSP/torchsig,Issue,body+comment,OS=macos|osx|windows; FIX=bug|fixed,TypeError: cannot pickle 'module' object,https://github.com/TorchDSP/torchsig/issues/71,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|linux|macos; FIX=bug|fix|fixed; TEST_CI=test,"Mouse cursor ""hotspot"" is always at the bottom left under Mac OS (M1)",https://github.com/Xpra-org/xpra/issues/3840,To review
boto/botocore,Issue,comment,OS=linux|ubuntu; FIX=compatibility|failing|fix|fixed|workaround; TEST_CI=ci|test|tests,Allow urllib3 2.0.0 to be installed,https://github.com/boto/botocore/issues/2926,To review
audeering/audb,Issue,comment+title,OS=windows; FIX=compatibility|fail,Backward compatibility with version check?,https://github.com/audeering/audb/issues/296,To review
NatLibFi/Annif,Issue,comment,OS=debian; FIX=fixed,Pin Flask and rdflib major/minor versions,https://github.com/NatLibFi/Annif/issues/697,To review
bloomberg/memray,Issue,body+title,OS=macos; FIX=fail|failing; TEST_CI=pytest|test|tests; API=posixpath,simple cpp and temporary allocation tests fail on MacOS (M1 MacBook),https://github.com/bloomberg/memray/issues/369,To review
bloomberg/memray,Issue,body+title,OS=macos; FIX=fails; TEST_CI=pytest|test|tests; CAUSE=.so; API=subprocess,test_basic_attach fails on MacOS (M1 MacBook),https://github.com/bloomberg/memray/issues/367,To review
ansible-collections/amazon.aws,Issue,body+title,OS=centos|linux|posix|rhel|windows; FIX=bug|failure; CAUSE=executable,aws_s3: SyntaxError: invalid syntax on RHEL 7 / CentOS 7 targets,https://github.com/ansible-collections/amazon.aws/issues/1467,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=ubuntu; FIX=bug,[Bug] Ubuntu docker shows white blank window instead of charts,https://github.com/OpenBB-finance/OpenBB/issues/4872,To review
aws/aws-sam-cli,Issue,body+title,OS=linux; FIX=bug|fail|fails|failure|fix|workaround; TEST_CI=test|tests,Bug: java17 arm64 lambda function might fail during build when `--use-container` option is provided,https://github.com/aws/aws-sam-cli/issues/5055,To review
antismash/antismash,Issue,comment,OS=debian|ubuntu; FIX=fails|fix|skip; CAUSE=executable,Error building diamond database,https://github.com/antismash/antismash/issues/587,To review
Xpra-org/xpra,Issue,body+comment,OS=ubuntu|windows; FIX=fixes,Xpra 4.4.4 seems to have erratic focus behaviour,https://github.com/Xpra-org/xpra/issues/3827,To review
Xpra-org/xpra,Issue,body+comment,OS=ubuntu; FIX=bug|fix; TEST_CI=tests; CAUSE=encoding,"Clipboard issues with compression, compression throws an error in the log.",https://github.com/Xpra-org/xpra/issues/3824,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|macos|windows; FIX=bug|fail|fails; TEST_CI=ci|test,Bug: `sam build` doesn't return an error when it should,https://github.com/aws/aws-sam-cli/issues/5026,To review
BoboTiG/python-mss,Issue,body+title,OS=linux; FIX=fix; TEST_CI=pytest|test|tests; CAUSE=utf-8,tests: fix random segfault on GNU/Linux,https://github.com/BoboTiG/python-mss/issues/251,Not related
aeye-lab/pymovements,Issue,body+title,OS=windows; FIX=bug|fail|failing|failure; TEST_CI=pytest|test|tests|tox; API=os.path,Random test fail on plotting functions with windows workers,https://github.com/aeye-lab/pymovements/issues/324,To review
GispoCoding/eis_toolkit,Issue,title,OS=windows; FIX=fix; TEST_CI=workflow,Add plotly to conda environment and fix Windows conda workflow error,https://github.com/GispoCoding/eis_toolkit/issues/123,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|ubuntu; FIX=broken|fixed; CAUSE=chmod,Does not see the xorg-x11-drv-dummy,https://github.com/Xpra-org/xpra/issues/3823,To review
avast/yls,Issue,body+title,OS=darwin|macos; FIX=failing|fixed,Failing to install fixed version on Darwin,https://github.com/avast/yls/issues/80,To review
Xpra-org/xpra,Issue,body+comment,OS=arch|linux|ubuntu|unix|windows; FIX=broken|bug|fix|fixed|fixes|regression|skip; TEST_CI=test; CAUSE=.so|encoding; API=encoding=,Xpra Server Crash with GLib >= 2.76,https://github.com/Xpra-org/xpra/issues/3822,To review
bloomberg/memray,Issue,body+title,OS=alpine|debian|linux|posix; FIX=fails; TEST_CI=test|tests|tox; CAUSE=.so|chmod; API=subprocess,Build fails on Alpine 3.12,https://github.com/bloomberg/memray/issues/339,To review
aws/aws-sam-cli,Issue,body+title,OS=debian|linux|ubuntu|windows; FIX=bug|fails; TEST_CI=workflow; CAUSE=.dll,sam build fails for HelloWorld dotnet 7 aot project in WSL2,https://github.com/aws/aws-sam-cli/issues/4981,To review
binref/refinery,Issue,body,OS=fedora|linux|macos; FIX=bug,iemap does not display colour,https://github.com/binref/refinery/issues/27,New Category
OpenBB-finance/OpenBB,Issue,body+title,OS=windows; FIX=bug,[Bug] support command opens 3 blank windows + recaptcha,https://github.com/OpenBB-finance/OpenBB/issues/4692,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|manjaro|ubuntu; FIX=bug; CAUSE=.so,run_scaled thunderbird crashes,https://github.com/Xpra-org/xpra/issues/3814,To review
OSInside/kiwi,Issue,body+comment+title,OS=ubuntu; FIX=fix|fixed,Can't find shimx64.efi.signed when building Ubuntu 20.04(.6) image,https://github.com/OSInside/kiwi/issues/2275,To review
IDAES/examples,Issue,title,OS=macos; FIX=fails,Setup fails on ARM64 macOS due to default `tensorflow` requirement,https://github.com/IDAES/examples/issues/31,To review
aws/aws-sam-cli,Issue,body+comment+title,OS=macos|os x|osx; FIX=failing|failure|fix|fixes|skip|workaround; TEST_CI=test; CAUSE=encoding|locale|utf-8,Lambda Proxy integration stopped working after updating to macOS Ventura,https://github.com/aws/aws-sam-cli/issues/4966,To review
aboutcode-org/scancode-toolkit,Issue,body+title,OS=linux|macos|windows; FIX=bug|fails,pip installation fails on Windows 11 with Python 3.11,https://github.com/aboutcode-org/scancode-toolkit/issues/3303,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=win32|windows; FIX=bug|fails,[Bug] Installation via source on Windows - ImportError: DLL load failed while importing _ctypes: The specified module could not be found.,https://github.com/OpenBB-finance/OpenBB/issues/4639,To review
ansible-collections/amazon.aws,Issue,body+comment,OS=windows; FIX=broken|bug|fix|workaround,ec2_instance -> app_callback -> set_password doesn't work,https://github.com/ansible-collections/amazon.aws/issues/1449,To review
aboutcode-org/scancode-toolkit,Issue,body+title,OS=linux|ubuntu; FIX=fail|fails; CAUSE=.so|utf-8,Build on linux-aarch64 dlopen fail using docker on Mac Apple Silicon,https://github.com/aboutcode-org/scancode-toolkit/issues/3301,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=windows; FIX=bug,[Bug] Faced `ImportError` when installing OpenBB in Windows,https://github.com/OpenBB-finance/OpenBB/issues/4591,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=arch|linux; FIX=bug|fails|workaround; CAUSE=.so,[Bug] ImportError: /usr/lib/libtracker-sparql-3.0.so.0: undefined symbol: g_task_set_static_name,https://github.com/OpenBB-finance/OpenBB/issues/4567,To review
aws/aws-sam-cli,Issue,body,OS=linux|windows; FIX=failing; TEST_CI=test,Build Lambda in Container and Debug in VSCode with F5,https://github.com/aws/aws-sam-cli/issues/4914,To review
ansys/pyfluent,Issue,comment+title,OS=linux|windows; FIX=fails; TEST_CI=test; CAUSE=.so,BatchOps doesn't work in linux - server side issue,https://github.com/ansys/pyfluent/issues/1490,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=arch|linux; FIX=bug|fails,linux installation fails because Installing torch (1.11.0): Failed,https://github.com/OpenBB-finance/OpenBB/issues/4558,To review
bootphon/phonemizer,Issue,body+comment,OS=linux|windows; FIX=bug|fix|fixed; TEST_CI=tests; CAUSE=.dll,Temp Folder created every time I call phonemize,https://github.com/bootphon/phonemizer/issues/147,To review
apple/coremltools,Issue,body+comment,OS=linux|macos; FIX=bug|fails|failure|fix|fixes; TEST_CI=test,"""Error in declaring network"" for models with many parameters",https://github.com/apple/coremltools/issues/1807,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|windows; FIX=bug|fixed; TEST_CI=test,tcl/tk applications' menus appear at random places on the screen outside of the application window,https://github.com/Xpra-org/xpra/issues/3801,To review
Xpra-org/xpra,Issue,body+comment+title,OS=centos|debian|macos|ubuntu|windows; FIX=broken|bug|fix|fixed; TEST_CI=test,Submenus of the tray menu are broken,https://github.com/Xpra-org/xpra/issues/3800,To review
aws/aws-parallelcluster,Issue,body,OS=ubuntu; FIX=bug|fails|fixed,Using DLAMI: Could not get IMDSv2 token. Instance Metadata might have been disabled or this is not an EC2 instance,https://github.com/aws/aws-parallelcluster/issues/5100,To review
OpenBB-finance/OpenBB,Issue,body+comment+title,OS=ubuntu; FIX=bug|fixes,[Bug] ModuleNotFoundError: No module named 'pywry',https://github.com/OpenBB-finance/OpenBB/issues/4507,To review
